Judul,link,deskripsi
"
						Hujan Deras, Ciganjur Dilanda Banjir dan Longsor 					",https://www.tribunnews.com/metropolitan/2020/10/10/hujan-deras-ciganjur-dilanda-banjir-dan-longsor,"
					Dari data BNPB, tanah longsor terjadi pukul 18.50 Wib di Jalan Damai RT 04/02 Ciganjur, Jagakarsa, Jakarta Selatan.				"
"
						Update Sabtu 10 Oktober: Jawa Tengah, Provinsi dengan Kasus Kematian Tertinggi Akibat Covid-19 					",https://www.tribunnews.com/nasional/2020/10/10/update-sabtu-10-oktober-jawa-tengah-provinsi-dengan-kasus-kematian-tertinggi-akibat-covid-19,"
					Total kasus kematian di Indonesia sendiri mencapai 11.765. Indonesia berada diurutan 17 dan merupakan paling tinggi di Asia Tenggara.				"
"
						Bioskop Senen Terbakar, Warga Duga Asal Api dari Halte yang Dibakar Massa 					",https://www.tribunnews.com/metropolitan/2020/10/10/bioskop-senen-terbakar-warga-duga-asal-api-dari-halte-yang-dibakar-massa,"
					Gedung Bioskop Grand Theater Senen terbakar, saat terjadi unjuk rasa tolak UU Cipta Kerja yang berakhir dengan kerusuhan.				"
"
						Cerita Mahasiswa Minta Restu Ikut Demo Tolak UU Cipta Kerja, Dapat Bekal Kecupan di Kening dari Mama 					",https://www.tribunnews.com/regional/2020/10/10/cerita-mahasiswa-minta-restu-ikut-demo-tolak-uu-cipta-kerja-dapat-bekal-kecupan-di-kening-dari-mama,"
					Dian Mulyana membagikan ceritanya saat ikut turun ke jalan menolak Undang-undang Cipta Kerja beberapa waktu lalu.				"
"
						Hasil Rapid Test Non Reaktif, Tapi Bupati Dompu Dinyatakan Positif Covid-19 Setelah TCM 					",https://www.tribunnews.com/regional/2020/10/10/hasil-rapid-test-non-reaktif-tapi-bupati-dompu-dinyatakan-positif-covid-19-setelah-tcm,"
					Kini, Bupati Dompu telah dirujuk ke salah satu Rumah Sakit di Kota Mataram, NTB untuk penanganan medis lebih lanjut.				"
"
						Unjuk Rasa di Seram Bagian Timur Berlangsung Damai, Polisi dan Demonstran Salat Berjemaah 					",https://www.tribunnews.com/regional/2020/10/10/unjuk-rasa-di-seram-bagian-timur-berlangsung-damai-polisi-dan-demonstran-salat-berjemaah,"
					Demo berjalan lancar. Tidak ada gas air mata, saling serang, dan lempar baru.				"
"
						Diduga Cabuli 2 Anak di Bawah Umur saat Mengajar, Guru Mengaji di Sumbawa Barat Ditangkap 					",https://www.tribunnews.com/regional/2020/10/10/diduga-cabuli-2-anak-di-bawah-umur-saat-mengajar-guru-mengaji-di-sumbawa-barat-ditangkap,"
					Seorang guru mengaji di Sumbawa Barat ditangkap karena diduga menjadi pelaku pencabulan anak di bawah umur.				"
"
						Pura-pura Sakit Ayan, Komplotan Copet Beraksi di Angkot: Bawa Jimat Tali Pocong Biar Selamat 					",https://www.tribunnews.com/regional/2020/10/10/pura-pura-sakit-ayan-komplotan-copet-beraksi-di-angkot-bawa-jimat-tali-pocong-biar-selamat,"
					Keempatnya tertangkap basah oleh sopir angkot nomor 04, jurusan Depok-Pasar Minggu di Jalan Siliwangi, Depok				"
"
						Bukan Fasilitas Rusak, Ini yang Paling Dikhawatirkan Ganjar Imbas Demo UU Cipta Kerja di Jateng 					",https://www.tribunnews.com/regional/2020/10/10/bukan-fasilitas-rusak-ini-yang-paling-dikhawatirkan-ganjar-imbas-demo-uu-cipta-kerja-di-jateng,"
					Ganjar memahami ada yang menolak dan tidak setuju atas keputusan pemerintah dan DPR dalam mengeluarkan UU Cipta Kerja				"
"
						Akhirnya, Polisi Tangkap Dua Orang yang Diduga Lempar Batu dari Atap DPRD Medan saat Demo 					",https://www.tribunnews.com/regional/2020/10/10/akhirnya-polisi-tangkap-dua-orang-yang-diduga-lempar-batu-dari-atap-dprd-medan-saat-demo,"
					Peristiwa pelemparan batu dari atap itu terjadi di tengah demo UU Cipta Kerja pada Kamis (8/10/2020).				"
"
						PP KAMMI Minta Airlangga Sebut Dalang Sponsor Demo UU Cipta Kerja 					",https://www.tribunnews.com/nasional/2020/10/10/pp-kammi-minta-airlangga-sebut-dalang-sponsor-demo-uu-cipta-kerja,"
					Airlangga harus segera mengklarifikasi dan bertanggungjawab soal pernyataannya, sebelum dinilai menyebar hoax dan fitnah yang meresahkan warga				"
"
						Pasca Anggotanya Jadi Korban Penyergapan, TGPF Kini Fokus Upaya Evakuasi dan Perawatan 					",https://www.tribunnews.com/nasional/2020/10/10/pasca-anggotanya-jadi-korban-penyergapan-tgpf-kini-fokus-upaya-evakuasi-dan-perawatan,"
					Sugeng mengatakan, anggota TGPF dan anggota TNI yang tertembak dalam penyergapan telah dievakuasi ke Jakarta.				"
